VOTES BY CONGRESS
Alabama:
"Sessions (R-AL), Nay"
"Shelby (R-AL), Nay"
Alaska:
"Begich (D-AK), Yea"
"Murkowski (R-AK), Nay"
Arizona:
"Kyl (R-AZ), Nay"
"McCain (R-AZ), Nay"
Arkansas:
"Lincoln (D-AR), Yea"
"Pryor (D-AR), Yea"
California:
"Boxer (D-CA), Yea"
"Feinstein (D-CA), Yea"
Colorado:
"Bennet (D-CO), Yea"
"Udall (D-CO), Yea"
Connecticut:
"Dodd (D-CT), Yea"
"Lieberman (ID-CT), Yea"
Delaware:
"Carper (D-DE), Yea"
"Kaufman (D-DE), Yea"
Florida:
"LeMieux (R-FL), Nay"
"Nelson (D-FL), Yea"
Georgia:
"Chambliss (R-GA), Nay"
"Isakson (R-GA), Nay"
Hawaii:
"Akaka (D-HI), Yea"
"Inouye (D-HI), Yea"
Idaho:
"Crapo (R-ID), Nay"
"Risch (R-ID), Nay"
Illinois:
"Burris (D-IL), Yea"
"Durbin (D-IL), Yea"
Indiana:
"Bayh (D-IN), Yea"
"Lugar (R-IN), Nay"
Iowa:
"Grassley (R-IA), Nay"
"Harkin (D-IA), Yea"
Kansas:
"Brownback (R-KS), Nay"
"Roberts (R-KS), Nay"
Kentucky:
"Bunning (R-KY), Not Voting"
"McConnell (R-KY), Nay"
Louisiana:
"Landrieu (D-LA), Yea"
"Vitter (R-LA), Nay"
Maine:
"Collins (R-ME), Nay"
"Snowe (R-ME), Nay"
Maryland:
"Cardin (D-MD), Yea"
"Mikulski (D-MD), Yea"
Massachusetts:
"Kerry (D-MA), Yea"
"Kirk (D-MA), Yea"
Michigan:
"Levin (D-MI), Yea"
"Stabenow (D-MI), Yea"
Minnesota:
"Franken (D-MN), Yea"
"Klobuchar (D-MN), Yea"
Mississippi:
"Cochran (R-MS), Nay"
"Wicker (R-MS), Nay"
Missouri:
"Bond (R-MO), Nay"
"McCaskill (D-MO), Yea"
Montana:
"Baucus (D-MT), Yea"
"Tester (D-MT), Yea"
Nebraska:
"Johanns (R-NE), Nay"
"Nelson (D-NE), Yea"
Nevada:
"Ensign (R-NV), Nay"
"Reid (D-NV), Yea"
New Hampshire:
"Gregg (R-NH), Nay"
"Shaheen (D-NH), Yea"
New Jersey:
"Lautenberg (D-NJ), Yea"
"Menendez (D-NJ), Yea"
New Mexico:
"Bingaman (D-NM), Yea"
"Udall (D-NM), Yea"
New York:
"Gillibrand (D-NY), Yea"
"Schumer (D-NY), Yea"
North Carolina:
"Burr (R-NC), Nay"
"Hagan (D-NC), Yea"
North Dakota:
"Conrad (D-ND), Yea"
"Dorgan (D-ND), Yea"
Ohio:
"Brown (D-OH), Yea"
"Voinovich (R-OH), Nay"
Oklahoma:
"Coburn (R-OK), Nay"
"Inhofe (R-OK), Nay"
Oregon:
"Merkley (D-OR), Yea"
"Wyden (D-OR), Yea"
Pennsylvania:
"Casey (D-PA), Yea"
"Specter (D-PA), Yea"
Rhode Island:
"Reed (D-RI), Yea"
"Whitehouse (D-RI), Yea"
South Carolina:
"DeMint (R-SC), Nay"
"Graham (R-SC), Nay"
South Dakota:
"Johnson (D-SD), Yea"
"Thune (R-SD), Nay"
Tennessee:
"Alexander (R-TN), Nay"
"Corker (R-TN), Nay"
Texas:
"Cornyn (R-TX), Nay"
"Hutchison (R-TX), Nay"
Utah:
"Bennett (R-UT), Nay"
"Hatch (R-UT), Nay"
Vermont:
"Leahy (D-VT), Yea"
"Sanders (I-VT), Yea"
Virginia:
"Warner (D-VA), Yea"
"Webb (D-VA), Yea"
Washington:
"Cantwell (D-WA), Yea"
"Murray (D-WA), Yea"
West Virginia:
"Byrd (D-WV), Yea"
"Rockefeller (D-WV), Yea"
Wisconsin:
"Feingold (D-WI), Yea"
"Kohl (D-WI), Yea"
Wyoming:
"Barrasso (R-WY), Nay"
"Enzi (R-WY), Nay"
